handle,first_name,last_name,status,photo_url,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,igl,gender,country,primary_language,regions,league
cbui,Catherine,Bui,active,http://static.lolesports.com/players/1632365253357_silhouette-female.png,PP,"Astra, Omen, KAY/O",3265.0,0.99,187.5,0.95,73%,123.4,0.66,0.4,0.07,0.07,23%,15%,FALSE,Female,United States,English,na,valorant game changers
amnesia,Annyssa,Rios,active,http://static.lolesports.com/players/1632349376576_silhouette-female.png,CLG,"Cypher, Sage, Killjoy",1941.0,0.92,181.2,0.91,68%,118.1,0.64,0.2,0.07,0.09,19%,16%,FALSE,Female,United States,English,na,valorant game changers
kxtieoh,Katie,Beene,active,http://static.lolesports.com/players/1632911234096_silhouette.png,MSF,"Sova, Astra, Omen",2020.0,0.92,174.9,0.9,70%,115.9,0.62,0.3,0.05,0.07,21%,17%,FALSE,Female,United States,English,na,valorant game changers
Jasprr,Jasmyn,Sanchez,active,http://static.lolesports.com/players/1632364781822_silhouette-female.png,FG,"viper, astra, killjoy",334.0,0.77,158.1,0.68,59%,107.3,0.53,0.22,0.04,0.09,23%,9%,FALSE,Female,BANGLADESH,Bengali,na,valorant game changers
panday,Joseph (June),Rapoza,active,http://static.lolesports.com/players/1681051642474_silhouette_transparent.png,oomf,"Cypher, Killjoy, Omen",3848.0,0.99,197.7,0.99,71%,129.9,0.7,0.26,0.09,0.08,29%,15%,FALSE,Male,United States,English,na,valorant game changers
Kay,Kaylen,Ruddell,active,http://static.lolesports.com/players/1632348950574_silhouette-female.png,IMT,"Chamber, Killjoy, Viper",1581.0,0.92,193.4,0.95,65%,129.9,0.69,0.15,0.1,0.13,29%,16%,FALSE,Female,UNITED STATES,English,na,valorant game changers
carlee,Carlee,Gress,active,http://static.lolesports.com/players/1632350661641_silhouette-female.png,mfs,"Sova, Breach, Raze",2927.0,0.93,178.1,0.89,70%,118.4,0.61,0.31,0.05,0.08,25%,18%,FALSE,Female,United States,English,na,valorant game changers
bungee,Kristen,Haight,active,http://static.lolesports.com/players/1632349454592_silhouette-female.png,TSM.X,"Jett, Chamber, Raze",3094.0,0.96,211.4,0.99,67%,138.0,0.76,0.17,0.14,0.14,26%,15%,FALSE,Female,United States,English,na,valorant game changers
katsumi,Kat,,active,http://static.lolesports.com/players/1632345436708_silhouette-female.png,Burg,"Omen, Astra, Brimstone",5434.0,0.98,192.6,0.98,72%,126.2,0.69,0.27,0.08,0.08,31%,13%,FALSE,Female,United States,English,na,valorant game changers
Slandy,Natalie,Anderson,active,http://static.lolesports.com/players/1632346882299_silhouette-female.png,RF.GC,"Breach, KAY/O, Skye",4278.0,0.88,170,0.82,70%,113.1,0.59,0.34,0.07,0.09,23%,12%,FALSE,Female,United States,English,na,valorant game changers
jellyfish,Irene,Draayer,active,http://static.lolesports.com/players/1632351974966_silhouette-female.png,Impe,"kayo, fade, astra",330.0,0.74,148.1,0.69,61%,97.4,0.52,0.26,0.05,0.11,31%,17%,FALSE,Female,United States,English,na,valorant game changers
chloe,Chloe,Wong,active,http://static.lolesports.com/players/1632346923891_silhouette-female.png,MSF,"Sova, Omen, Jett",848.0,0.85,189.9,0.83,64%,124.7,0.67,0.17,0.13,0.15,22%,8%,FALSE,Female,TAIWAN,Mandarin,na,valorant game changers
cwaudia,Claudia,Salyga,active,http://static.lolesports.com/players/1632421564264_silhouette-female.png,ARI,"breach, sova, kayo",845.0,0.83,174.3,0.73,67%,115.7,0.57,0.3,0.06,0.07,16%,11%,FALSE,Female,LITHUANIA,Lithuanian,na,valorant game changers
Rebecca,Barbora,yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyezyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyovyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,active,http://static.lolesports.com/players/1633033031951_silhouette.png,(+6),"breach, omen, brimstone",380.0,0.83,167.1,0.74,70%,113.8,0.57,0.38,0.06,0.08,26%,13%,FALSE,Female,CZECH REPUBLIC,Czech,na,valorant game changers
CaspeRR,Neha,Sottany,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,SCC.A,"astra, omen, killjoy",232.0,0.84,173.1,0.73,55%,116.5,0.55,0.26,0.08,0.09,20%,5%,FALSE,Female,INDIA,Hindi/English,na,valorant game changers
leah,Leah,Heredia,active,http://static.lolesports.com/players/1632349019259_silhouette-female.png,Soli,"breach, sova, fade",289.0,0.93,199.4,0.88,70%,126.2,0.7,0.36,0.13,0.07,24%,11%,FALSE,Female,MEXICO,Spanish,na,valorant game changers
edith,Eden,Bryce Cutlip,active,http://static.lolesports.com/players/1681051381330_silhouette_transparent.png,YFP,"Raze, Jett, Chamber",2064.0,1.1,245,1.15,69%,158.0,0.86,0.17,0.18,0.16,25%,13%,FALSE,Female,United States,English,na,valorant game changers
rayse,John,Holland,active,http://static.lolesports.com/players/1681051122153_silhouette_transparent.png,COL,"Viper, Omen, Raze",3470.0,0.98,206.2,0.97,71%,133.7,0.71,0.3,0.12,0.11,25%,14%,FALSE,Male,Vietnam,Vietnamese,na,valorant game changers
KARRA,Katherine,Lee,active,http://static.lolesports.com/players/1632419905077_silhouette-female.png,FLY.R,"skye, astra, breach",4542.0,1.02,193.1,0.97,74%,124.6,0.68,0.4,0.08,0.08,31%,13%,FALSE,Female,South Korea,Korean,na,valorant game changers
flowerful,Kayla,Horton,active,http://static.lolesports.com/players/1632344314158_silhouette-female.png,LIL,"Killjoy, Chamber, Cypher",5755.0,1.05,205.1,1.08,71%,137.0,0.73,0.16,0.09,0.08,23%,14%,FALSE,Female,United States,English,na,valorant game changers
